DATE,CPIAUCSL
01-01-2000,169.3
01-02-2000,170
01-03-2000,171
01-04-2000,170.9
01-05-2000,171.2
01-06-2000,172.2
01-07-2000,172.7
01-08-2000,172.7
01-09-2000,173.6
01-10-2000,173.9
01-11-2000,174.2
01-12-2000,174.6
01-01-2001,175.6
01-02-2001,176
01-03-2001,176.1
01-04-2001,176.4
01-05-2001,177.3
01-06-2001,177.7
01-07-2001,177.4
01-08-2001,177.4
01-09-2001,178.1
01-10-2001,177.6
01-11-2001,177.5
01-12-2001,177.4
01-01-2002,177.7
01-02-2002,178
01-03-2002,178.5
01-04-2002,179.3
01-05-2002,179.5
01-06-2002,179.6
01-07-2002,180
01-08-2002,180.5
01-09-2002,180.8
01-10-2002,181.2
01-11-2002,181.5
01-12-2002,181.8
01-01-2003,182.6
01-02-2003,183.6
01-03-2003,183.9
01-04-2003,183.2
01-05-2003,182.9
01-06-2003,183.1
01-07-2003,183.7
01-08-2003,184.5
01-09-2003,185.1
01-10-2003,184.9
01-11-2003,185
01-12-2003,185.5
01-01-2004,186.3
01-02-2004,186.7
01-03-2004,187.1
01-04-2004,187.4
01-05-2004,188.2
01-06-2004,188.9
01-07-2004,189.1
01-08-2004,189.2
01-09-2004,189.8
01-10-2004,190.8
01-11-2004,191.7
01-12-2004,191.7
01-01-2005,191.6
01-02-2005,192.4
01-03-2005,193.1
01-04-2005,193.7
01-05-2005,193.6
01-06-2005,193.7
01-07-2005,194.9
01-08-2005,196.1
01-09-2005,198.8
01-10-2005,199.1
01-11-2005,198.1
01-12-2005,198.1
01-01-2006,199.3
01-02-2006,199.4
01-03-2006,199.7
01-04-2006,200.7
01-05-2006,201.3
01-06-2006,201.8
01-07-2006,202.9
01-08-2006,203.8
01-09-2006,202.8
01-10-2006,201.9
01-11-2006,202
01-12-2006,203.1
01-01-2007,203.437
01-02-2007,204.226
01-03-2007,205.288
01-04-2007,205.904
01-05-2007,206.755
01-06-2007,207.234
01-07-2007,207.603
01-08-2007,207.667
01-09-2007,208.547
01-10-2007,209.19
01-11-2007,210.834
01-12-2007,211.445
01-01-2008,212.174
01-02-2008,212.687
01-03-2008,213.448
01-04-2008,213.942
01-05-2008,215.208
01-06-2008,217.463
01-07-2008,219.016
01-08-2008,218.69
01-09-2008,218.877
01-10-2008,216.995
01-11-2008,213.153
01-12-2008,211.398
01-01-2009,211.933
01-02-2009,212.705
01-03-2009,212.495
01-04-2009,212.709
01-05-2009,213.022
01-06-2009,214.79
01-07-2009,214.726
01-08-2009,215.445
01-09-2009,215.861
01-10-2009,216.509
01-11-2009,217.234
01-12-2009,217.347
01-01-2010,217.488
01-02-2010,217.281
01-03-2010,217.353
01-04-2010,217.403
01-05-2010,217.29
01-06-2010,217.199
01-07-2010,217.605
01-08-2010,217.923
01-09-2010,218.275
01-10-2010,219.035
01-11-2010,219.59
01-12-2010,220.472
01-01-2011,221.187
01-02-2011,221.898
01-03-2011,223.046
01-04-2011,224.093
01-05-2011,224.806
01-06-2011,224.806
01-07-2011,225.395
01-08-2011,226.106
01-09-2011,226.597
01-10-2011,226.75
01-11-2011,227.169
01-12-2011,227.223
01-01-2012,227.842
01-02-2012,228.329
01-03-2012,228.807
01-04-2012,229.187
01-05-2012,228.713
01-06-2012,228.524
01-07-2012,228.59
01-08-2012,229.918
01-09-2012,231.015
01-10-2012,231.638
01-11-2012,231.249
01-12-2012,231.221
01-01-2013,231.679
01-02-2013,232.937
01-03-2013,232.282
01-04-2013,231.797
01-05-2013,231.893
01-06-2013,232.445
01-07-2013,232.9
01-08-2013,233.456
01-09-2013,233.544
01-10-2013,233.669
01-11-2013,234.1
01-12-2013,234.719
01-01-2014,235.288
01-02-2014,235.547
01-03-2014,236.028
01-04-2014,236.468
01-05-2014,236.918
01-06-2014,237.231
01-07-2014,237.498
01-08-2014,237.46
01-09-2014,237.477
01-10-2014,237.43
01-11-2014,236.983
01-12-2014,236.252
01-01-2015,234.747
01-02-2015,235.342
01-03-2015,235.976
01-04-2015,236.222
01-05-2015,237.001
01-06-2015,237.657
01-07-2015,238.034
01-08-2015,238.033
01-09-2015,237.498
01-10-2015,237.733
01-11-2015,238.017
01-12-2015,237.761
01-01-2016,237.652
01-02-2016,237.336
01-03-2016,238.08
01-04-2016,238.992
01-05-2016,239.557
01-06-2016,240.222
01-07-2016,240.101
01-08-2016,240.545
01-09-2016,241.176
01-10-2016,241.741
01-11-2016,242.026
01-12-2016,242.637
01-01-2017,243.618
01-02-2017,244.006
01-03-2017,243.892
01-04-2017,244.193
01-05-2017,244.004
01-06-2017,244.163
01-07-2017,244.243
01-08-2017,245.183
01-09-2017,246.435
01-10-2017,246.626
01-11-2017,247.284
01-12-2017,247.805
01-01-2018,248.859
01-02-2018,249.529
01-03-2018,249.577
01-04-2018,250.227
01-05-2018,250.792
01-06-2018,251.018
01-07-2018,251.214
01-08-2018,251.663
01-09-2018,252.182
01-10-2018,252.772
01-11-2018,252.594
01-12-2018,252.767
01-01-2019,252.718
01-02-2019,253.322
01-03-2019,254.202
01-04-2019,255.211
01-05-2019,255.29
01-06-2019,255.159
01-07-2019,255.685
01-08-2019,256.059
01-09-2019,256.511
01-10-2019,257.244
01-11-2019,257.803
01-12-2019,258.616
01-01-2020,259.037
01-02-2020,259.248
01-03-2020,258.124
01-04-2020,256.092
01-05-2020,255.868
01-06-2020,256.986
01-07-2020,258.278
01-08-2020,259.411
01-09-2020,260.029
01-10-2020,260.286
01-11-2020,260.813
01-12-2020,262.035
01-01-2021,262.65
01-02-2021,263.638
01-03-2021,264.914
01-04-2021,266.67
01-05-2021,268.444
01-06-2021,270.559
01-07-2021,271.764
01-08-2021,272.87
01-09-2021,274.028
01-10-2021,276.522
01-11-2021,278.711
01-12-2021,280.887
01-01-2022,282.599
01-02-2022,284.61
01-03-2022,287.472
01-04-2022,288.611
01-05-2022,291.268
01-06-2022,294.728
01-07-2022,294.628
01-08-2022,295.32
01-09-2022,296.539
01-10-2022,297.987
01-11-2022,298.598
01-12-2022,298.99
01-01-2023,300.536
01-02-2023,301.648
01-03-2023,301.808
01-04-2023,302.918
01-05-2023,303.294
01-06-2023,303.841
01-07-2023,304.348
01-08-2023,306.269
01-09-2023,307.481
